id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
ff_libm.so.6_avg-load_4,1890389946,2320886,62904481435,111961959770,16082558724,90490523,19910931757,1389580298,395030208,324157,20030979569,1431748,1,ff,avg-load
ff_libm.so.6_avg-load_5,1686826528,1858547,62912329864,111672624687,15991723522,101307749,19803477887,1418401164,413563470,368315,19902250841,1407334,1,ff,avg-load
ff_libm.so.6_avg-load_6,1515544494,2613926,63036685567,112580394357,16209818896,89320824,20047168724,1485902173,324293853,328609,19975416235,1457067,1,ff,avg-load
ff_libm.so.6_avg-load_7,1636758548,2525249,63007515481,112628815568,16232112351,90204823,20092755882,1457286931,388876148,332242,19981310061,1405664,1,ff,avg-load
ff_libm.so.6_avg-load_8,1659389385,2783563,62998662397,111709766710,16037736507,100519726,19820013007,1442244421,377711520,314360,19821129476,1414903,1,ff,avg-load
ff_libm.so.6_avg-load_9,1627393666,3356436,63010094397,111987781862,16100234643,98661756,19913083014,1477164018,345339770,474366,19780675989,1482920,1,ff,avg-load
ff_libm.so.6_avg-load_10,1752940464,2878255,63020156211,111814736799,16084170742,91413651,19930330670,1396862180,390242745,365540,20036735434,1435943,1,ff,avg-load
ff_libm.so.6_avg-load_11,1694634428,3416020,63097590155,112243412379,16155758141,90542021,19975578302,1446657324,359160861,342286,19999669286,1471559,1,ff,avg-load
ff_libm.so.6_avg-load_12,1754789839,3370081,63004470871,112055124615,16115086527,91365552,19955542433,1443470696,358959452,346856,20061844831,1437863,1,ff,avg-load
ff_libm.so.6_avg-load_13,1732469495,2804554,62925257455,111542183405,16017673218,99665398,19831311272,1448681977,402898160,436729,19801712719,1439824,1,ff,avg-load
ff_libm.so.6_avg-load_14,1772665517,2828192,63071845232,111535200146,16008212255,99352089,19770220425,1455918827,407879054,347974,19771583617,1454999,1,ff,avg-load
ff_libm.so.6_avg-load_15,1775233378,3819631,63121292704,111603215264,16023575903,99249609,19812514987,1447209983,392424428,424187,19809895254,1479196,1,ff,avg-load
ff_libm.so.6_avg-load_16,1583543742,2775516,63020131190,112175882280,16102129171,100400858,19907270830,1470907441,383659462,332138,19838673896,1431641,1,ff,avg-load
ff_libm.so.6_avg-load_17,1694256907,2243286,62973003464,112374256431,16191299579,89579708,20022807969,1448954986,403845103,344362,19989221219,1405945,1,ff,avg-load
ff_libm.so.6_avg-load_18,1670053126,3046531,63339209289,112346098002,16145483972,90444670,19971681108,1529145792,368318678,373865,19942068174,1438220,1,ff,avg-load
ff_libm.so.6_avg-load_19,1582363295,2917715,63421388369,112929241008,16261667906,90662349,20099169009,1504695377,331537215,389598,20154140160,1439255,1,ff,avg-load
ff_libm.so.6_avg-load_20,1548878241,3112933,63101328184,112929387006,16269118356,89891562,20123185349,1493785635,356934150,360450,20053918173,1398346,1,ff,avg-load
ff_libm.so.6_avg-load_21,1598872218,2853175,62869120257,111914612299,16091453103,98249663,19921421717,1487297562,402215538,355529,19812828551,1428212,1,ff,avg-load
ff_libm.so.6_avg-load_22,1643667631,2129252,62881636181,112488339874,16193101605,89602334,20055578966,1480943646,341140346,350260,19983085769,1416415,1,ff,avg-load
ff_libm.so.6_avg-load_23,1729744167,2665379,62971291968,111795205551,16058116515,100502747,19865648574,1452955956,351390128,352596,19839866544,1389345,1,ff,avg-load
ff_libm.so.6_avg-load_24,1705645790,3666141,63048105041,112627840621,16238539448,90233730,20075858576,1468726462,354157176,304570,19992739839,1404653,1,ff,avg-load
ff_libm.so.6_full-load_0,4385844561,595606080,144921301495,249133812548,32630848540,176431951,45657170918,3207438200,913979264,18824259,45817469639,5782578,1,ff,full-load
ff_libm.so.6_full-load_1,4210751416,568238557,142832550901,249254598421,33662537916,162815757,46885089846,3111666810,1220348751,20236985,46209687570,7846948,1,ff,full-load
ff_libm.so.6_full-load_2,3644806321,696304835,145532963080,258123432117,34630651127,151051781,49363537738,2950673792,1110024657,28462022,49125082796,11939493,1,ff,full-load
ff_libm.so.6_full-load_3,4810482732,563434252,144481168207,251689515868,33724281038,165518836,47228668263,2984645246,1259903112,18907613,47223560242,6461428,1,ff,full-load
ff_libm.so.6_full-load_4,4074443525,444854713,143861291237,236082582341,31927637992,171770171,43207254164,3030028807,988806792,16511168,43744750880,4876563,1,ff,full-load
ff_libm.so.6_full-load_5,3779150357,565495991,136997566237,240202377386,32143112582,164445802,44764274942,2913809677,964938739,18234039,44551052550,5975006,1,ff,full-load
ff_libm.so.6_full-load_6,3661292237,482623851,138545726725,239287650979,32681166215,162208559,44349454180,3180341471,1239295477,17191658,43215197842,5202306,1,ff,full-load
ff_libm.so.6_full-load_7,3617014098,571733710,140599338977,247291963930,33183997016,165172432,46356900942,3144952066,918199569,19001367,45926861839,5740117,1,ff,full-load
ff_libm.so.6_full-load_8,4153747182,681972541,141522497372,250404557401,33219399120,162500253,47653744982,2867846375,861281331,23382591,48208119924,11393184,1,ff,full-load
ff_libm.so.6_full-load_9,4057226461,520632983,141560717504,241817472606,32277204253,172017684,44568186888,3051004307,932528843,18006287,44221561842,4920841,1,ff,full-load
ff_libm.so.6_full-load_10,4209091918,467550132,142154689641,238385824823,32262149646,169865387,43639705291,3395738189,878256720,16220673,42796454894,4708970,1,ff,full-load
ff_libm.so.6_full-load_11,4182226046,438322250,139757476017,230150654919,31319825118,154413570,41882629656,3058236659,1254615840,17580159,41214392007,4753153,1,ff,full-load
ff_libm.so.6_full-load_12,3475181112,507890463,134149852660,233075251128,31319361569,158777500,43469634494,2941789987,866554178,17932522,43399853395,5518990,1,ff,full-load
ff_libm.so.6_full-load_13,4015160465,488823721,131708723585,227366568383,30455877666,163227224,42153450572,2771569042,909356953,17882474,42402386738,5298114,1,ff,full-load
ff_libm.so.6_full-load_14,5113741363,578837360,139031405456,240766039127,32294000053,157487856,45166740257,2901226846,1001946744,19452862,44867356157,6291061,1,ff,full-load
ff_libm.so.6_full-load_15,5096733328,647427816,139456964336,240133761655,32230811523,149627877,45888366263,2531909549,1073725459,25449651,46165238280,10433424,1,ff,full-load
ff_libm.so.6_full-load_16,3409734302,522663092,133907618189,235827555781,31542325021,151009044,43978430695,2944057077,1048798800,17268686,43896739393,5530140,1,ff,full-load
ff_libm.so.6_full-load_17,4357347277,559691658,134062537360,233161445912,31541221942,157682762,44098264693,2753467606,1078386236,18358493,44257617107,5816374,1,ff,full-load
ff_libm.so.6_full-load_18,3444309808,597551228,134812777257,235456813479,31860913365,147694957,44525937955,3062674611,995110587,22747699,43902774420,9551114,1,ff,full-load
ff_libm.so.6_full-load_19,4307350695,624214638,139768377204,244298501580,32542578549,152762245,45684197667,3149888612,899985524,21895229,45307665533,9094414,1,ff,full-load
