id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_212,4018238527,713808374,118938459076,224395562058,27733696908,145743836,39584502848,3384503973,1211432120,22510992,37575935763,12085179,0,benign,full-load
benign_full-load_213,4438395743,693191927,121333942062,221313324857,27250026325,172190398,39098093499,2979727727,900496096,28379042,39566577259,11799454,0,benign,full-load
benign_full-load_214,4613800454,688248769,119495036248,221111515207,26576271029,176529658,38496316539,2875835228,1055491490,28827126,39297425271,13419546,0,benign,full-load
benign_full-load_215,4334482571,711453615,119702285613,222195802899,26874603764,170193370,38753780813,3180883807,1013075896,26804070,38849191930,13269669,0,benign,full-load
benign_full-load_216,3713227954,664641671,118576874177,222670124899,27124313255,169470759,38958268121,3252504621,759050097,26047187,39122013841,10614291,0,benign,full-load
benign_full-load_217,4377516831,697500217,119587678541,221335457360,26441297701,181964149,38626752330,2971546146,915571028,26796968,39550542930,13316026,0,benign,full-load
benign_full-load_218,4341675167,690534089,118285527174,219697732878,26840171595,152728796,38436220001,3148013200,1018843359,27278378,37829092965,12085907,0,benign,full-load
benign_full-load_219,4460552169,666020584,120795563835,224731091572,27624160708,169822614,39488517519,3229102171,1242266145,25121079,38829578625,10376047,0,benign,full-load
benign_full-load_220,4421427620,687808857,120790146124,222301327872,27299900058,177354371,39104619359,3172049748,1062375444,21750292,39310340678,10609285,0,benign,full-load
benign_full-load_221,4272099545,679791815,121629058639,226089522883,27961325176,168768562,40053573210,3339212836,980608487,21151128,39289682579,10519028,0,benign,full-load
benign_full-load_222,4209841577,673442481,119148976547,224267166375,27358626944,173719495,39394864705,3298540178,1064955505,25768700,39125816466,11287195,0,benign,full-load
benign_full-load_223,4989502894,669496476,118380333773,216213782381,25836895602,182597504,37275261531,2824463245,968382716,24170546,38787301024,9036770,0,benign,full-load
benign_full-load_224,4012312491,688155840,119150569875,221796523244,26798178554,167025089,38569822741,3284631306,693788287,26342200,38884283562,12191804,0,benign,full-load
benign_full-load_225,4679921122,694765032,118448115203,219283136268,26432139066,170080184,38416466296,3105239428,957995445,28387082,39193701917,11632456,0,benign,full-load
benign_full-load_226,3995924106,630798174,120931796379,221784432716,27023475651,188195836,38750049915,3140502555,600328662,18755248,39446579740,8406191,0,benign,full-load
benign_full-load_227,4443140526,651462003,118553566188,219404086942,26141070029,196735847,38275496434,2937560134,809008842,21770411,39534895855,10010385,0,benign,full-load
benign_full-load_228,4767734980,704858988,118908588972,220901504511,26620213021,176092583,38749745838,2945562502,1035395118,27596551,39401185937,12114049,0,benign,full-load
benign_full-load_229,4259555739,730203372,119247931500,222739102270,27067827023,164661404,39206105346,3386988022,921001653,31244959,38411781057,9356208,0,benign,full-load
benign_full-load_230,4445254518,678154915,121318932720,221637939828,26623941977,183260316,38977149443,2891037049,751941510,22217128,40789219340,11061294,0,benign,full-load
benign_full-load_231,3880818367,714712559,121049622411,222353386930,27434391147,171449287,39446149068,3132863790,819015257,28923698,39947801894,15030255,0,benign,full-load
benign_full-load_232,4644302880,743153507,119678458465,222930284438,27043556956,177130124,39347272931,3207128846,1232271184,30444966,39034147358,14453510,0,benign,full-load
benign_full-load_233,4281965654,740509993,119622437385,221629920464,27020487782,151652997,38741323476,3212820770,1128229285,31190267,37820478507,14324582,0,benign,full-load
benign_full-load_234,4238308375,656568774,119051607670,219820848158,26875174942,168026826,38610384923,3028301159,1228047376,22914277,38737164235,10613119,0,benign,full-load
benign_full-load_235,4169693608,715578897,120587874239,219361152671,26939410244,175041416,38604862102,3136295389,788655909,32618206,38935040503,13585924,0,benign,full-load
benign_full-load_236,4553868817,683251888,118583849103,221057693807,26893386684,171417111,38810483681,3316104381,1176466590,26595740,38190452150,11844787,0,benign,full-load
benign_full-load_237,5034529465,738513914,119948607394,217648767780,26853623937,165534944,38659783303,2907184001,1287413474,30523557,38886247905,12593150,0,benign,full-load
benign_full-load_238,4096088252,687043278,121051990779,223981335419,27584504726,163758146,39632872923,3239524506,901768874,23183714,39627228827,12701145,0,benign,full-load
benign_full-load_239,3973229420,701494596,119558604216,223273911578,27336436657,162925784,39246257560,3270491250,819034479,25308785,39220975217,12383992,0,benign,full-load
benign_full-load_240,4719921269,677880168,117789139367,219491268799,26545557808,170720625,38235314414,2953144670,1280076304,23117854,38736187051,7940973,0,benign,full-load
benign_full-load_241,5420681252,668100304,119248196297,219730769277,26392637952,175375171,38400717176,2901876343,1147348173,25116758,39332982702,10837656,0,benign,full-load
